Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
H-10-3,H,4600,4600,0,0,Stabilized,Non-inverted,1.560429534,2946.495863,10.39333333,2.013282621,7.6,7.6,0,53.66,5.37,0.183415617
H-10-4,H,4600,4600,0,0,Stabilized,Non-inverted,3.179971838,2946.495863,8.165,4.102833162,7.6,7.6,0,53.66,5.37,0.183415617
H-10-5,H,4600,4600,0,0,Stabilized,Non-inverted,1.402590838,2946.495863,8.096666667,1.809637473,7.6,7.6,0,53.66,5.37,0.183415617
H-5-1,H,4600,4600,0,0,Stabilized,Non-inverted,7.716410648,2946.495863,8.596666667,9.955794301,7.6,7.6,0,53.66,5.37,0.183415617
H-5-2,H,4600,4600,0,0,Stabilized,Non-inverted,2.554948419,2946.495863,7.875,3.296421364,7.6,7.6,0,53.66,5.37,0.183415617
H-5-3,H,4600,4600,0,0,Stabilized,Non-inverted,2.803092572,2946.495863,9.8675,3.616579563,7.6,7.6,0,53.66,5.37,0.183415617
H-5-4,H,4600,4600,0,0,Stabilized,Non-inverted,1.795641936,2946.495863,9.113333333,2.316756141,7.6,7.6,0,53.66,5.37,0.183415617
H-5-5,H,4600,4600,0,0,Stabilized,Non-inverted,1.859325114,2946.495863,10.00666667,2.398920848,7.6,7.6,0,53.66,5.37,0.183415617
HL-10-1,HL,4600,2400,-2200,11.1,Warming,Non-inverted,3.811560167,2946.495863,20.64666667,4.917715078,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-10-2,HL,4600,2400,-2200,11.1,Warming,Non-inverted,10.99641213,2946.495863,21.305,14.18768676,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-10-3,HL,4600,2400,-2200,11.1,Warming,Non-inverted,14.05744202,2946.495863,20.28,18.13705977,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-10-4,HL,4600,2400,-2200,11.1,Warming,Non-inverted,2.950598087,2946.495863,21.32333333,3.806892732,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-10-5,HL,4600,2400,-2200,11.1,Warming,Non-inverted,3.086591851,2946.495863,18.86,3.98235332,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-5-1,HL,4600,2400,-2200,11.1,Warming,Non-inverted,7.235522586,2946.495863,20.225,9.335347457,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-5-2,HL,4600,2400,-2200,11.1,Warming,Non-inverted,5.433887287,2946.495863,20.05,7.010858616,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-5-3,HL,4600,2400,-2200,11.1,Warming,Non-inverted,4.753125197,2946.495863,21.57333333,6.132532197,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-5-4,HL,4600,2400,-2200,11.1,Warming,Non-inverted,3.53848867,2946.495863,19.785,4.565395355,7.6,17.39,9.79,53.66,5.37,0.183415617
HL-5-5,HL,4600,2400,-2200,11.1,Warming,Non-inverted,2.758567067,2946.495863,20.11,3.559132288,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-10-1,HLR,4600,2400,-2200,11.1,Warming,Inverted,2.13760262,2946.495863,21.74,2.757957417,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-10-2,HLR,4600,2400,-2200,11.1,Warming,Inverted,3.119453849,2946.495863,19.5025,4.024752216,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-10-3,HLR,4600,2400,-2200,11.1,Warming,Inverted,10.90948767,2946.495863,20.10666667,14.07553591,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-10-4,HLR,4600,2400,-2200,11.1,Warming,Inverted,7.419886003,2946.495863,21.01666667,9.57321508,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-10-5,HLR,4600,2400,-2200,11.1,Warming,Inverted,13.18693609,2946.495863,20.86333333,17.01392385,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-5-1,HLR,4600,2400,-2200,11.1,Warming,Inverted,1.672317798,2946.495863,20.41,2.157642039,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-5-2,HLR,4600,2400,-2200,11.1,Warming,Inverted,13.38903718,2946.495863,20.4475,17.2746768,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-5-3,HLR,4600,2400,-2200,11.1,Warming,Inverted,2.937146032,2946.495863,20.80666667,3.789536749,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-5-4,HLR,4600,2400,-2200,11.1,Warming,Inverted,4.554276012,2946.495863,21.33333333,5.875974885,7.6,17.39,9.79,53.66,5.37,0.183415617
HLR-5-5,HLR,4600,2400,-2200,11.1,Warming,Inverted,4.777898816,2946.495863,21.7825,6.164495381,7.6,17.39,9.79,53.66,5.37,0.183415617
