Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,E.Changed,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
MR-10-1,MR,3500,3500,0,0,Stabilized,Inverted,4.207446667,3029.141501,11.66666667,5.280383648,34_0,13,13,0,57.26,6.08,0.192581444
MR-10-2,MR,3500,3500,0,0,Stabilized,Inverted,1.763496333,3029.141501,12.15,2.213203859,34_0,13,13,0,57.26,6.08,0.192581444
MR-10-3,MR,3500,3500,0,0,Stabilized,Inverted,3.69562,3029.141501,11.99333333,4.638036548,34_0,13,13,0,57.26,6.08,0.192581444
MR-10-4,MR,3500,3500,0,0,Stabilized,Inverted,3.615013333,3029.141501,11.73,4.536874452,34_0,13,13,0,57.26,6.08,0.192581444
MR-10-5,MR,3500,3500,0,0,Stabilized,Inverted,6.23647,3029.141501,14.84,7.826826295,34_0,13,13,0,57.26,6.08,0.192581444
MR-5-1,MR,3500,3500,0,0,Stabilized,Inverted,3.20606,3029.141501,11.15,4.023634318,34_0,13,13,0,57.26,6.08,0.192581444
MR-5-2,MR,3500,3500,0,0,Stabilized,Inverted,6.804083333,3029.141501,10.46333333,8.539186166,34_0,13,13,0,57.26,6.08,0.192581444
MR-5-3,MR,3500,3500,0,0,Stabilized,Inverted,3.01828,3029.141501,10.62666667,3.787968718,34_0,13,13,0,57.26,6.08,0.192581444
MR-5-4,MR,3500,3500,0,0,Stabilized,Inverted,3.94732,3029.141501,10.99,4.953922327,34_0,13,13,0,57.26,6.08,0.192581444
MR-5-5,MR,3500,3500,0,0,Stabilized,Inverted,1.605041333,3029.141501,11.76333333,2.0143414,34_0,13,13,0,57.26,6.08,0.192581444
MH-10-1,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.11949,3029.141501,8.34,3.914988184,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-10-2,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.942663333,3029.141501,9.913333333,4.948078168,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-10-3,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,5.449685,3029.141501,10.95,6.839403999,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-10-4,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.3822,3029.141501,9.15,4.244691612,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-10-5,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,1.687978133,3029.141501,9.546666667,2.118427835,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-5-1,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,2.13608,3029.141501,8.446666667,2.680799733,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-5-2,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.3700212,3029.141501,9.725,0.464379955,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-5-3,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.882063333,3029.141501,8.06,4.872024619,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-5-4,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.504496467,3029.141501,7.823333333,0.633147632,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MH-5-5,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,1.55101,3029.141501,8.048476667,1.946531588,1100,13,7.66,-5.34,57.26,6.08,0.192581444
