Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,V4,SR,Temp.O,Temp.D,delta.T,E.Changed,Silt_clay,pH,TN
LHR-5-2,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.580308823,2011.229686,1.246666667,1.35,2.987079032,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-5-3,LHR,2400,4600,2200,-11.1,Cooling,Inverted,0.266649823,2011.229686,0.03,1.381333333,0.504018002,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-5-4,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.428070667,2011.229686,0.12,1.600333333,2.699320463,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-5-5,LHR,2400,4600,2200,-11.1,Cooling,Inverted,0.468317,2011.229686,-0.59,1.007,0.885206657,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
ML-10-1,ML,3500,2400,-1100,5.6,Warming,Non-inverted,0.709429,3029.141501,5.88,1.149,0.890339816,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-10-2,ML,3500,2400,-1100,5.6,Warming,Non-inverted,1.130271667,3029.141501,6.286666667,1.095666667,1.418501172,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-10-3,ML,3500,2400,-1100,5.6,Warming,Non-inverted,0.508676,3029.141501,7.466666667,1.121666667,0.638392984,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-10-4,ML,3500,2400,-1100,5.6,Warming,Non-inverted,0.300033,3029.141501,7.385,1.1485,0.376544131,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-10-5,ML,3500,2400,-1100,5.6,Warming,Non-inverted,1.193634833,3029.141501,4.946666667,1.155333333,1.498022519,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-5-1,ML,3500,2400,-1100,5.6,Warming,Non-inverted,1.188099,3029.141501,8.203333333,1.113,1.491074998,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-5-2,ML,3500,2400,-1100,5.6,Warming,Non-inverted,0.996092,3029.141501,9.82,1.085333333,1.250104475,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-5-3,ML,3500,2400,-1100,5.6,Warming,Non-inverted,1.167035,3029.141501,9.606666667,1.092333333,1.464639488,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-5-4,ML,3500,2400,-1100,5.6,Warming,Non-inverted,1.728459,3029.141501,8.74,0.71925,2.169231689,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
ML-5-5,ML,3500,2400,-1100,5.6,Warming,Non-inverted,1.318016667,3029.141501,8.956666667,1.160333333,1.654122846,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-10-1,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.981802667,3029.141501,7.483333333,1.074,1.232171233,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-10-2,MLR,3500,2400,-1100,5.6,Warming,Inverted,1.566122667,3029.141501,7.423333333,1.188,1.965498121,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-10-3,MLR,3500,2400,-1100,5.6,Warming,Inverted,1.45266,3029.141501,9.823333333,1.093,1.823101448,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-10-4,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.727537667,3029.141501,7.4,1.127333333,0.913066356,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-10-5,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.305517667,3029.141501,6.956666667,1.105333333,0.383427437,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-5-1,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.244753667,3029.141501,9.19,1.139666667,0.307168067,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-5-2,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.8054565,3029.141501,5.13,1.2225,1.010855198,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-5-3,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.904394,3029.141501,8.733333333,1.104333333,1.135022656,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-5-4,MLR,3500,2400,-1100,5.6,Warming,Inverted,1.432916667,3029.141501,8.353333333,1.074333333,1.798323386,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
MLR-5-5,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.846338,3029.141501,7.653333333,1.138333333,1.06216185,0.99,8.04,7.05,-1100,57.26,6.08,0.192581444
M-10-1,M,3500,3500,0,0,Stabilized,Non-inverted,0.203972633,3029.141501,-0.6,1.121333333,0.255987501,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-10-2,M,3500,3500,0,0,Stabilized,Non-inverted,0.514652333,3029.141501,0.44,1.219666667,0.645893336,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-10-3,M,3500,3500,0,0,Stabilized,Non-inverted,0.42651,3029.141501,-0.663333333,1.279666667,0.53527391,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-10-4,M,3500,3500,0,0,Stabilized,Non-inverted,0.675180333,3029.141501,1.906666667,1.351333333,0.847357429,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-10-5,M,3500,3500,0,0,Stabilized,Non-inverted,1.105881667,3029.141501,0.966666667,1.329666667,1.387891501,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-5-1,M,3500,3500,0,0,Stabilized,Non-inverted,1.141740967,3029.141501,-0.63,1.248333333,1.432895247,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-5-2,M,3500,3500,0,0,Stabilized,Non-inverted,0.8540363,3029.141501,-1.43,1.29,1.071823286,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-5-3,M,3500,3500,0,0,Stabilized,Non-inverted,1.017135667,3029.141501,-1.113333333,1.346333333,1.276514468,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-5-4,M,3500,3500,0,0,Stabilized,Non-inverted,0.699339667,3029.141501,-1.446666667,1.298,0.877677611,0.99,0.99,0,34_0,57.26,6.08,0.192581444
M-5-5,M,3500,3500,0,0,Stabilized,Non-inverted,0.78229,3029.141501,-1.156666667,1.347666667,0.98178103,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-10-1,MR,3500,3500,0,0,Stabilized,Inverted,0.704835,3029.141501,0.38,1.1925,0.884574304,0.99,0.99,0,34_0,57.26,6.08,0.192581444
